Comment,Designator,Footprint,LCSC,Quantity
SK6812,D41,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
1N4148,D5,DIOAD753W49L380D172B,,1
1N4148,D3,DIOAD753W49L380D172B,,1
1N4148,D1,DIOAD753W49L380D172B,,1
1N4148,D2,DIOAD753W49L380D172B,,1
1N4148,D18,DIOAD753W49L380D172B,,1
1N4148,D14,DIOAD753W49L380D172B,,1
SK6812,D33,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D31,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
COM-09032,U1,PS4_joystick,,1
Arduino_Nano_ESP32,A1,Arduino_Nano,,1
SK6812,D35,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
1N4148,D4,DIOAD753W49L380D172B,,1
1N4148,D8,DIOAD753W49L380D172B,,1
1N4148,D13,DIOAD753W49L380D172B,,1
SK6812,D34,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D46,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D37,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D40,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
1N4148,D10,DIOAD753W49L380D172B,,1
SK6812,D50,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
1N4148,D23,DIOAD753W49L380D172B,,1
SK6812,D38,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D47,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
1N4148,D19,DIOAD753W49L380D172B,,1
SK6812,D45,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
1N4148,D20,DIOAD753W49L380D172B,,1
1N4148,D21,DIOAD753W49L380D172B,,1
SK6812,D29,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
1N4148,D12,DIOAD753W49L380D172B,,1
1N4148,D24,DIOAD753W49L380D172B,,1
SK6812,D32,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D26,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D39,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D28,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D42,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D44,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
COM-09032,U2,PS4_joystick,,1
1N4148,D11,DIOAD753W49L380D172B,,1
SK6812,D43,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
1N4148,D15,DIOAD753W49L380D172B,,1
SK6812,D30,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
1N4148,D9,DIOAD753W49L380D172B,,1
1N4148,D7,DIOAD753W49L380D172B,,1
SK6812,D48,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D27,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D36,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D49,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
1N4148,D6,DIOAD753W49L380D172B,,1
1N4148,D17,DIOAD753W49L380D172B,,1
1N4148,D25,DIOAD753W49L380D172B,,1
1N4148,D16,DIOAD753W49L380D172B,,1
1N4148,D22,DIOAD753W49L380D172B,,1
SW_Push,SW13,hotswap,,1
SW_Push,SW9,hotswap,,1
SW_Push,SW24,hotswap,,1
SW_Push,SW7,hotswap,,1
SW_Push,SW19,hotswap,,1
SW_Push,SW3,hotswap,,1
SW_Push,SW11,hotswap,,1
SW_Push,SW17,hotswap,,1
SW_Push,SW26,hotswap,,1
SW_Push,SW2,hotswap,,1
SW_Push,SW12,hotswap,,1
SW_Push,SW14,hotswap,,1
SW_Push,SW5,hotswap,,1
SW_Push,SW6,hotswap,,1
SW_Push,SW22,hotswap,,1
SW_Push,SW4,hotswap,,1
SW_Push,SW25,hotswap,,1
SW_Push,SW20,hotswap,,1
SW_Push,SW23,hotswap,,1
SW_Push,SW10,hotswap,,1
SW_Push,SW21,hotswap,,1
SW_Push,SW15,hotswap,,1
SW_Push,SW18,hotswap,,1
SW_Push,SW8,hotswap,,1
SW_Push,SW16,hotswap,,1
