Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A1,Arduino_Nano_ESP32,Arduino_Nano,69.12,-69.28,180.0,top
D1,1N4148,DIOAD753W49L380D172B,94.5,-38.0,0.0,top
D10,1N4148,DIOAD753W49L380D172B,111.5,-38.0,0.0,top
D11,1N4148,DIOAD753W49L380D172B,128.2315,-38.0,0.0,top
D12,1N4148,DIOAD753W49L380D172B,128.26875,-55.5,0.0,top
D13,1N4148,DIOAD753W49L380D172B,128.2,-72.4,0.0,top
D14,1N4148,DIOAD753W49L380D172B,127.745,-89.874,0.0,top
D15,1N4148,DIOAD753W49L380D172B,181.2685,-71.5,0.0,top
D16,1N4148,DIOAD753W49L380D172B,145.2185,-37.975,0.0,top
D17,1N4148,DIOAD753W49L380D172B,145.0688,-55.0,0.0,top
D18,1N4148,DIOAD753W49L380D172B,145.45,-72.55,0.0,top
D19,1N4148,DIOAD753W49L380D172B,145.4395,-89.856,0.0,top
D2,1N4148,DIOAD753W49L380D172B,94.7685,-55.0,0.0,top
D20,1N4148,DIOAD753W49L380D172B,180.8185,-89.0,0.0,top
D21,1N4148,DIOAD753W49L380D172B,180.8185,-106.0,0.0,top
D22,1N4148,DIOAD753W49L380D172B,162.5,-90.0,0.0,top
D23,1N4148,DIOAD753W49L380D172B,162.5,-72.5,0.0,top
D24,1N4148,DIOAD753W49L380D172B,162.5,-55.0,0.0,top
D25,1N4148,DIOAD753W49L380D172B,162.5,-38.0,0.0,top
D26,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,75.65,-98.8,0.0,top
D27,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,99.8,-102.8,0.0,top
D28,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,116.8,-102.8,0.0,top
D29,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,133.75,-102.7,0.0,top
D3,1N4148,DIOAD753W49L380D172B,94.2685,-72.5,0.0,top
D30,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,150.8,-102.675,0.0,top
D31,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,168.15,-102.7,0.0,top
D32,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,186.4685,-93.4,0.0,top
D33,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,168.05,-85.5,0.0,top
D34,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,150.8,-85.35,0.0,top
D35,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,133.725,-85.35,0.0,top
D36,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,116.85,-85.4,0.0,top
D37,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,99.95,-85.4,0.0,top
D38,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,186.325,-58.775,0.0,top
D39,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,168.025,-67.95,0.0,top
D4,1N4148,DIOAD753W49L380D172B,94.5,-90.0,0.0,top
D40,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,150.825,-67.9,0.0,top
D41,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,133.75,-67.925,0.0,top
D42,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,116.825,-67.925,0.0,top
D43,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,99.825,-67.925,0.0,top
D44,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,168.05,-51.025,0.0,top
D45,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,150.85,-50.9,0.0,top
D46,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,133.85,-50.925,0.0,top
D47,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,116.85,-51.025,0.0,top
D48,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,99.85,-50.925,0.0,top
D49,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,186.4685,-76.1,0.0,top
D5,1N4148,DIOAD753W49L380D172B,70.0,-112.0,0.0,top
D50,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,186.3685,-41.725,0.0,top
D6,1N4148,DIOAD753W49L380D172B,181.1873,-54.4,0.0,top
D7,1N4148,DIOAD753W49L380D172B,111.5,-90.0,0.0,top
D8,1N4148,DIOAD753W49L380D172B,111.2315,-72.5,0.0,top
D9,1N4148,DIOAD753W49L380D172B,111.5,-55.0,0.0,top
SW10,SW_Push,hotswap,110.18,-97.814,0.0,bottom
SW11,SW_Push,hotswap,181.0235,-46.649,180.0,bottom
SW12,SW_Push,hotswap,127.185,-46.056,0.0,bottom
SW13,SW_Push,hotswap,144.135,-46.051,0.0,bottom
SW14,SW_Push,hotswap,127.205,-63.086,0.0,bottom
SW15,SW_Push,hotswap,144.135,-63.056,0.0,bottom
SW16,SW_Push,hotswap,127.135,-80.506,0.0,bottom
SW17,SW_Push,hotswap,144.135,-80.481,0.0,bottom
SW18,SW_Push,hotswap,127.1195,-97.836,0.0,bottom
SW19,SW_Push,hotswap,144.1195,-97.836,0.0,bottom
SW2,SW_Push,hotswap,93.19,-46.056,0.0,bottom
SW20,SW_Push,hotswap,181.1135,-63.604,180.0,bottom
SW21,SW_Push,hotswap,181.0835,-81.004,180.0,bottom
SW22,SW_Push,hotswap,161.185,-46.056,0.0,bottom
SW23,SW_Push,hotswap,161.185,-63.076,0.0,bottom
SW24,SW_Push,hotswap,161.18,-80.48,0.0,bottom
SW25,SW_Push,hotswap,161.18,-97.814,0.0,bottom
SW26,SW_Push,hotswap,181.1135,-98.304,180.0,bottom
SW3,SW_Push,hotswap,93.185,-63.076,0.0,bottom
SW4,SW_Push,hotswap,93.18,-80.48,0.0,bottom
SW5,SW_Push,hotswap,93.18,-97.814,0.0,bottom
SW6,SW_Push,hotswap,69.935,-103.844,180.0,bottom
SW7,SW_Push,hotswap,110.185,-46.056,0.0,bottom
SW8,SW_Push,hotswap,110.185,-63.076,0.0,bottom
SW9,SW_Push,hotswap,110.18,-80.48,0.0,bottom
U1,COM-09032,PS4_joystick,152.7799,-125.9215,0.0,top
U2,COM-09032,PS4_joystick,180.8995,-125.9215,0.0,top
